Controller,Input,Set,Height,CentreX,Left Base,Right Base,Left Top,Right Top
81,1,1,1,0,25,23,10,12
81,1,2,1,30,25,0,12,0
82,0,0,1,0,0,383,0,162
82,0,1,1,500,375,437,159,232
82,0,2,1,1000,461,0,216,0
82,1,0,1,-30,0,24,0,9
82,1,1,1,0,21,21,12,14
82,1,2,1,30,24,0,12,0
83,0,0,1,0,0,407,0,184
83,0,1,1,500,408,425,126,185
83,0,2,1,1000,343,0,208,0
83,1,0,1,-30,0,21,0,9
83,1,1,1,0,25,23,10,12
83,1,2,1,30,25,0,12,0
84,0,0,1,0,0,412,0,156
84,0,1,1,500,365,359,188,234
84,0,2,1,1000,435,0,216,0
84,1,0,1,-30,0,24,0,9
84,1,1,1,0,21,21,12,14
84,1,2,1,30,24,0,12,0
85,0,0,1,0,0,412,0,156
85,0,1,1,500,365,359,188,234
85,0,2,1,1000,416,0,216,0
85,1,0,1,-30,0,22,0,11
85,1,1,1,0,22,24,12,12
85,1,2,1,30,25,0,14,0
86,0,0,1,0,0,419,0,222
86,0,1,1,500,365,385,200,200
86,0,2,1,1000,387,0,195,0
86,1,0,1,-30,0,24,0,9
86,1,1,1,0,21,21,12,14
86,1,2,1,30,24,0,12,0
87,0,0,1,0,0,419,0,222
87,0,1,1,500,331,419,200,200
87,0,2,1,1000,387,0,227,0
87,1,0,1,-30,0,24,0,9
87,1,1,1,0,21,21,12,14
87,1,2,1,30,24,0,12,0
88,0,0,1,0,0,419,0,222
88,0,1,1,500,380,370,200,200
88,0,2,1,1000,387,0,227,0
88,1,0,1,-30,0,24,0,9
88,1,1,1,0,21,21,12,14
88,1,2,1,30,24,0,12,0
89,0,0,1,0,0,412,0,156
89,0,1,1,500,386,338,188,234
89,0,2,1,1000,416,0,216,0
89,1,0,1,-30,0,23,0,12
89,1,1,1,0,25,22,10,12
89,1,2,1,30,26,0,10,0
90,0,0,1,0,0,430,0,184
90,0,1,1,500,441,371,216,236
90,0,2,1,1000,430,0,232,0
90,1,0,1,-30,0,26,0,14
90,1,1,1,0,22,24,10,10
90,1,2,1,30,24,0,13,0
91,0,0,1,0,0,412,0,181
91,0,1,1,500,405,414,163,191
91,0,2,1,1000,445,0,191,0
91,1,0,1,-30,0,24,0,13
91,1,1,1,0,23,23,12,14
91,1,2,1,30,23,0,11,0
92,0,0,1,0,0,407,0,179
92,0,1,1,500,408,425,126,185
92,0,2,1,1000,371,0,208,0
92,1,0,1,-30,0,25,0,9
92,1,1,1,0,19,23,13,14
92,1,2,1,30,22,0,14,0
93,0,0,1,0,0,419,0,222
93,0,1,1,500,365,385,200,200
93,0,2,1,1000,387,0,227,0
93,1,0,1,-30,0,22,0,13
93,1,1,1,0,24,21,9,10
93,1,2,1,30,25,0,14,0
94,0,0,1,0,0,369,0,234
94,0,1,1,500,381,397,194,157
94,0,2,1,1000,404,0,189,0
94,1,0,1,-30,0,25,0,11
94,1,1,1,0,21,26,12,9
94,1,2,1,30,22,0,13,0
95,0,0,1,0,0,404,0,227
95,0,1,1,500,365,385,200,200
95,0,2,1,1000,387,0,227,0
95,1,0,1,-30,0,24,0,10
95,1,1,1,0,21,21,12,14
95,1,2,1,30,24,0,12,0
96,0,0,1,0,0,407,0,179
96,0,1,1,500,408,425,126,185
96,0,2,1,1000,371,0,208,0
96,1,0,1,-30,0,24,0,9
96,1,1,1,0,21,21,12,14
96,1,2,1,30,24,0,12,0
97,0,0,1,0,0,386,0,207
97,0,1,1,500,432,417,225,198
97,0,2,1,1000,410,0,224,0
97,1,0,1,-30,0,22,0,14
97,1,1,1,0,24,26,11,13
97,1,2,1,30,26,0,13,0
98,0,0,1,0,0,407,0,179
98,0,1,1,500,421,438,126,185
98,0,2,1,1000,371,0,208,0
98,1,0,1,-30,0,26,0,12
98,1,1,1,0,23,22,11,12
98,1,2,1,30,24,0,13,0
99,0,0,1,0,0,403,0,174
99,0,1,1,500,387,376,241,216
99,0,2,1,1000,412,0,227,0
99,1,0,1,-30,0,23,0,13
99,1,1,1,0,24,21,9,11
99,1,2,1,30,23,0,10,0
100,0,0,1,0,0,419,0,222
100,0,1,1,500,354,396,200,200
100,0,2,1,1000,429,0,227,0
100,1,0,1,-30,0,24,0,13
100,1,1,1,0,22,22,9,11
100,1,2,1,30,25,0,12,0
101,0,0,1,0,0,407,0,179
101,0,1,1,500,408,425,126,185
101,0,2,1,1000,371,0,208,0
101,1,0,1,-30,0,24,0,9
101,1,1,1,0,26,24,10,12
101,1,2,1,30,24,0,11,0
102,0,0,1,0,0,386,0,207
102,0,1,1,500,432,417,225,198
102,0,2,1,1000,410,0,224,0
102,1,0,1,-30,0,24,0,9
102,1,1,1,0,21,21,12,14
102,1,2,1,30,26,0,12,0
103,0,0,1,0,0,407,0,184
103,0,1,1,500,408,425,126,185
103,0,2,1,1000,371,0,208,0
103,1,0,1,-30,0,20,0,13
103,1,1,1,0,22,25,14,9
103,1,2,1,30,24,0,13,0
104,0,0,1,0,0,419,0,222
104,0,1,1,500,365,385,200,200
104,0,2,1,1000,387,0,227,0
104,1,0,1,-30,0,24,0,9
104,1,1,1,0,25,23,10,12
104,1,2,1,30,24,0,11,0
105,0,0,1,0,0,361,0,147
105,0,1,1,500,362,373,205,249
105,0,2,1,1000,396,0,220,0
105,1,0,1,-30,0,23,0,12
105,1,1,1,0,26,23,13,14
105,1,2,1,30,25,0,11,0
106,0,0,1,0,0,419,0,222
106,0,1,1,500,331,419,200,200
106,0,2,1,1000,387,0,227,0
106,1,0,1,-30,0,24,0,9
106,1,1,1,0,21,21,12,14
106,1,2,1,30,24,0,13,0
107,0,0,1,0,0,412,0,156
107,0,1,1,500,365,359,188,234
107,0,2,1,1000,416,0,174,0
107,1,0,1,-30,0,24,0,7
107,1,1,1,0,21,21,12,14
107,1,2,1,30,24,0,12,0
108,0,0,1,0,0,419,0,222
108,0,1,1,500,386,364,200,200
108,0,2,1,1000,402,0,227,0
108,1,0,1,-30,0,23,0,9
108,1,1,1,0,23,24,13,11
108,1,2,1,30,23,0,8,0
109,0,0,1,0,0,443,0,187
109,0,1,1,500,384,429,176,247
109,0,2,1,1000,371,0,248,0
109,1,0,1,-30,0,26,0,11
109,1,1,1,0,21,22,13,11
109,1,2,1,30,25,0,13,0
