Controller,Rule,Input Variable 1,Input Set 1,Modifier,Input Variable 2,Input Set 2,Output Value
50,1,0,0,AND,1,1,5.03769
50,2,0,0,AND,1,2,6.94754
50,3,0,1,AND,1,0,4.22285
50,4,0,1,AND,1,1,3.61034
50,5,0,1,AND,1,2,3.3607
50,6,0,2,AND,1,0,9.05362
50,7,0,2,AND,1,1,0.280465
50,8,0,2,AND,1,2,4.41755
51,0,0,0,AND,1,0,6.14002
51,1,0,0,AND,1,1,1.91137
51,2,0,0,AND,1,2,8.0398
51,3,0,1,AND,1,0,6.50533
51,4,0,1,AND,1,1,2.53609
51,5,0,1,AND,1,2,1.42308
51,6,0,2,AND,1,0,0.432752
51,7,0,2,AND,1,1,1.54118
51,8,0,2,AND,1,2,3.29966
52,0,0,0,AND,1,0,6.14002
52,1,0,0,AND,1,1,1.91137
52,2,0,0,AND,1,2,8.0398
52,3,0,1,AND,1,0,6.50533
52,4,0,1,AND,1,1,2.53609
52,5,0,1,AND,1,2,1.42308
52,6,0,2,AND,1,0,7.98425
52,7,0,2,AND,1,1,0.280465
52,8,0,2,AND,1,2,9.07834
53,0,0,0,AND,1,0,8.40175
53,1,0,0,AND,1,1,2.87301
53,2,0,0,AND,1,2,9.03867
53,3,0,1,AND,1,0,9.19217
53,4,0,1,AND,1,1,3.61034
53,5,0,1,AND,1,2,3.3607
53,6,0,2,AND,1,0,9.05362
53,7,0,2,AND,1,1,0.280465
53,8,0,2,AND,1,2,3.18217
54,0,0,0,AND,1,0,6.14002
54,1,0,0,AND,1,1,1.91137
54,2,0,0,AND,1,2,8.0398
54,3,0,1,AND,1,0,4.65041
54,4,0,1,AND,1,1,1.35807
54,5,0,1,AND,1,2,3.53435
54,6,0,2,AND,1,0,1.62297
54,7,0,2,AND,1,1,0.98117
54,8,0,2,AND,1,2,5.31571
55,0,0,0,AND,1,0,8.40175
55,1,0,0,AND,1,1,2.87301
55,2,0,0,AND,1,2,9.03867
55,3,0,1,AND,1,0,9.19217
55,4,0,1,AND,1,1,3.29478
55,5,0,1,AND,1,2,1.6126
55,6,0,2,AND,1,0,9.80377
55,7,0,2,AND,1,1,0.711386
55,8,0,2,AND,1,2,2.24006
56,0,0,0,AND,1,0,6.14002
56,1,0,0,AND,1,1,1.91137
56,2,0,0,AND,1,2,8.0398
56,3,0,1,AND,1,0,6.50533
56,4,0,1,AND,1,1,2.53609
56,5,0,1,AND,1,2,1.42308
56,6,0,2,AND,1,0,0.432752
56,7,0,2,AND,1,1,0.280465
56,8,0,2,AND,1,2,5.39567
57,0,0,0,AND,1,0,6.14002
57,1,0,0,AND,1,1,1.91137
57,2,0,0,AND,1,2,8.0398
57,3,0,1,AND,1,0,6.50533
57,4,0,1,AND,1,1,2.53609
57,5,0,1,AND,1,2,1.42308
57,6,0,2,AND,1,0,7.98425
57,7,0,2,AND,1,1,0.280465
57,8,0,2,AND,1,2,8.67122
58,0,0,0,AND,1,0,6.14002
58,1,0,0,AND,1,1,1.91137
58,2,0,0,AND,1,2,8.0398
58,3,0,1,AND,1,0,6.50533
58,4,0,1,AND,1,1,2.53609
58,5,0,1,AND,1,2,1.42308
58,6,0,2,AND,1,0,6.03504
58,7,0,2,AND,1,1,1.26011
58,8,0,2,AND,1,2,2.79092
59,0,0,0,AND,1,0,6.14002
59,1,0,0,AND,1,1,1.91137
59,2,0,0,AND,1,2,8.0398
59,3,0,1,AND,1,0,4.65041
59,4,0,1,AND,1,1,1.35807
59,5,0,1,AND,1,2,3.53435
59,6,0,2,AND,1,0,1.62297
59,7,0,2,AND,1,1,0.98117
59,8,0,2,AND,1,2,0.0119022
60,0,0,0,AND,1,0,6.14002
60,1,0,0,AND,1,1,1.91137
60,2,0,0,AND,1,2,8.0398
60,3,0,1,AND,1,0,6.50533
60,4,0,1,AND,1,1,2.53609
60,5,0,1,AND,1,2,1.42308
60,6,0,2,AND,1,0,7.98425
60,7,0,2,AND,1,1,0.792566
60,8,0,2,AND,1,2,3.29508
61,0,0,0,AND,1,0,6.14002
61,1,0,0,AND,1,1,1.91137
61,2,0,0,AND,1,2,8.0398
61,3,0,1,AND,1,0,6.50533
61,4,0,1,AND,1,1,2.53609
61,5,0,1,AND,1,2,1.42308
61,6,0,2,AND,1,0,0.432752
61,7,0,2,AND,1,1,0.280465
61,8,0,2,AND,1,2,9.14762
62,0,0,0,AND,1,0,6.14002
62,1,0,0,AND,1,1,1.91137
62,2,0,0,AND,1,2,8.0398
62,3,0,1,AND,1,0,4.65041
62,4,0,1,AND,1,1,1.35807
62,5,0,1,AND,1,2,3.53435
62,6,0,2,AND,1,0,1.62297
62,7,0,2,AND,1,1,0.98117
62,8,0,2,AND,1,2,4.12671
63,0,0,0,AND,1,0,6.14002
